"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000253139",4.15738920926666,3.27971776614098e-19,3.17249622378637e-18,10.7207816110101
"ENSG00000270387",7.67380078109892,3.70525336807464e-19,3.51649517762555e-18,6.267369481088
"ENSG00000251367",-8.27503104530128,4.68938798651596e-19,4.30653359338852e-18,7.95483298622651
"ENSG00000149084",7.76917134974293,4.7089333526117e-19,4.30653359338852e-18,7.37084443287711
"ENSG00000207978",8.54758837380709,5.06746511687082e-19,4.55166956033219e-18,7.78323998978974
"ENSG00000279419",7.91980884112384,5.37516097485161e-19,4.730828504478e-18,5.83517908029531
"ENSG00000163848",-4.42100482734913,5.45503087991499e-19,4.730828504478e-18,10.902397256908
"ENSG00000249519",-13.1193108010175,7.83394550068288e-19,6.6787704861754e-18,8.42780616455855
"ENSG00000126262",-6.57651983378523,8.87289392710543e-19,7.43844274222339e-18,7.8040222953407
"ENSG00000102195",5.84554572367308,9.64648450461287e-19,7.95439623904963e-18,8.97956195899845
"ENSG00000124209",-6.12204581049836,1.4682338122713e-18,1.1911638831814e-17,8.14535482757003
"ENSG00000159069",-6.77766401186379,1.543964831803e-18,1.23272112761414e-17,8.98869495811207
"ENSG00000260370",-8.23996961433538,1.8051130851263e-18,1.41870606534145e-17,7.55052146533609
"ENSG00000258700",-3.8797393743925,1.9541426160295e-18,1.51220574748129e-17,9.88306097867596
"ENSG00000183035",5.85106940018225,2.0634742037132e-18,1.57261746131476e-17,9.26285952134485
"ENSG00000225662",7.89608887980065,2.36956110625213e-18,1.77893915887287e-17,6.8069160459561
"ENSG00000230256",15.3074245413274,2.51985837079383e-18,1.86395405957249e-17,7.40519133425716
"ENSG00000224584",10.6697119560293,3.18263724157693e-18,2.32009642393217e-17,4.21115584376791
"ENSG00000280352",3.11821606673453,3.29488057590728e-18,2.36760704240195e-17,10.1007854943662
"ENSG00000222783",7.43909774187007,3.76103863493271e-18,2.66342674489571e-17,6.25836159550454
"ENSG00000281550",7.06538911689721,3.81245975412507e-18,2.66342674489571e-17,7.44960597255909
"ENSG00000278818",6.39883550782127,4.05774495494648e-18,2.79595303060011e-17,7.80571228250035
"ENSG00000254872",-9.65943763486964,6.05218386777236e-18,4.11384930471553e-17,6.74625584258265
"ENSG00000198788",11.8087125299298,6.89852289525435e-18,4.62660935508392e-17,7.59683296955542
"ENSG00000150782",7.3831522461445,7.52660849909205e-18,4.92143492666161e-17,6.65903146166121
"ENSG00000237818",-4.62947148169017,7.53380694538656e-18,4.92143492666161e-17,6.90848334323158
"ENSG00000227254",-3.98926361235694,1.39667482478154e-17,9.00676201109122e-17,9.70239939282848
"ENSG00000251789",5.03449916464704,1.5389894975132e-17,9.79888249682457e-17,10.3447831607733
"ENSG00000204525",-7.66934806961054,1.59681116825082e-17,1.0039950220377e-16,9.93125605498594
"ENSG00000231217",-12.5283042037867,1.77003615355078e-17,1.09917059905684e-16,7.3567870610677
"ENSG00000222658",3.7644792596143,2.54572948695113e-17,1.56158772187368e-16,10.9308247761739
"ENSG00000235612",-8.63358932211437,2.63158941322812e-17,1.59480659620933e-16,7.28242133636162
"ENSG00000270828",-2.2399751367707,3.20416349411463e-17,1.91868361611864e-16,9.01002798412256
"ENSG00000135632",-4.05044279084629,3.29493468343413e-17,1.93905188677528e-16,8.03782283654732
